Time,	LatentMB,	InfectiousMB,	InfectiousIdentifiedMB,	InfectiousUnderTreatmeanMB,	InfectiousNotCuredMB,	TotalInfectiousMB,	RecoveredLatentMB,	RelapseMB
221,	0.035000,	0.280000,	0.000000,	1.760000,	0.050000,	0.330000,	0.075000,	0.000000
222,	0.040000,	0.290000,	0.000000,	1.675000,	0.055000,	0.345000,	0.065000,	0.000000
223,	0.040000,	0.285000,	0.000000,	1.600000,	0.055000,	0.340000,	0.105000,	0.000000
224,	0.050000,	0.280000,	0.000000,	1.595000,	0.055000,	0.335000,	0.075000,	0.000000
225,	0.040000,	0.275000,	0.000000,	1.590000,	0.050000,	0.325000,	0.090000,	0.000000
226,	0.045000,	0.300000,	0.000000,	1.560000,	0.050000,	0.350000,	0.100000,	0.000000
227,	0.040000,	0.300000,	0.005000,	1.550000,	0.045000,	0.350000,	0.095000,	0.000000
228,	0.050000,	0.305000,	0.000000,	1.530000,	0.040000,	0.345000,	0.080000,	0.000000
229,	0.065000,	0.310000,	0.000000,	1.500000,	0.040000,	0.350000,	0.060000,	0.000000
230,	0.035000,	0.290000,	0.000000,	1.470000,	0.045000,	0.335000,	0.090000,	0.000000
231,	0.020000,	0.290000,	0.000000,	1.495000,	0.050000,	0.340000,	0.045000,	0.000000
232,	0.030000,	0.290000,	0.000000,	1.440000,	0.060000,	0.350000,	0.060000,	0.000000
233,	0.035000,	0.280000,	0.000000,	1.455000,	0.055000,	0.335000,	0.055000,	0.000000
234,	0.030000,	0.275000,	0.000000,	1.440000,	0.055000,	0.330000,	0.060000,	0.000000
235,	0.020000,	0.275000,	0.000000,	1.425000,	0.050000,	0.325000,	0.100000,	0.000000
236,	0.015000,	0.285000,	0.000000,	1.390000,	0.055000,	0.340000,	0.095000,	0.000000
237,	0.030000,	0.290000,	0.000000,	1.390000,	0.055000,	0.345000,	0.065000,	0.000000
238,	0.045000,	0.295000,	0.000000,	1.380000,	0.055000,	0.350000,	0.070000,	0.000000
239,	0.050000,	0.305000,	0.000000,	1.375000,	0.055000,	0.360000,	0.065000,	0.000000
240,	0.040000,	0.310000,	0.000000,	1.350000,	0.055000,	0.365000,	0.065000,	0.000000
241,	0.025000,	0.305000,	0.000000,	1.370000,	0.055000,	0.360000,	0.070000,	0.000000
242,	0.030000,	0.300000,	0.000000,	1.385000,	0.050000,	0.350000,	0.065000,	0.000000
243,	0.040000,	0.295000,	0.000000,	1.410000,	0.050000,	0.345000,	0.060000,	0.000000
244,	0.030000,	0.295000,	0.005000,	1.355000,	0.050000,	0.350000,	0.070000,	0.000000
245,	0.040000,	0.295000,	0.000000,	1.370000,	0.060000,	0.355000,	0.045000,	0.000000
246,	0.050000,	0.295000,	0.000000,	1.320000,	0.060000,	0.355000,	0.065000,	0.000000
