Time,	Latent,	Infectious,	InfectiousIdentified,	InfectiousUnderTreatmean,	InfectiousNotCured,	TotalInfectious,	RecoveredLatent,	Relapse
81,	121.580002,	978.619995,	0.000000,	0.000000,	0.000000,	978.619995,	0.000000,	0.000000
82,	123.540001,	991.090027,	0.000000,	0.000000,	0.000000,	991.090027,	0.000000,	0.000000
83,	127.760002,	1005.679932,	0.000000,	0.000000,	0.000000,	1005.679962,	0.000000,	0.000000
84,	129.270004,	1021.839966,	0.000000,	0.000000,	0.000000,	1021.839996,	0.000000,	0.000000
85,	131.649994,	1035.040039,	0.000000,	0.000000,	0.000000,	1035.040009,	0.000000,	0.000000
86,	133.649994,	1051.989990,	0.000000,	0.000000,	0.000000,	1051.989990,	0.000000,	0.000000
87,	136.630005,	1067.160034,	0.000000,	0.000000,	0.000000,	1067.160004,	0.000000,	0.000000
88,	139.649994,	1079.929932,	0.000000,	0.000000,	0.000000,	1079.929993,	0.000000,	0.000000
89,	141.929993,	1097.020020,	0.000000,	0.000000,	0.000000,	1097.019958,	0.000000,	0.000000
90,	144.440002,	1111.900024,	0.000000,	0.000000,	0.000000,	1111.899994,	0.000000,	0.000000
91,	149.339996,	1128.680054,	0.000000,	0.000000,	0.000000,	1128.680023,	0.000000,	0.000000
92,	152.869995,	1146.709961,	0.000000,	0.000000,	0.000000,	1146.709991,	0.000000,	0.000000
93,	154.800003,	1163.430054,	0.000000,	0.000000,	0.000000,	1163.430023,	0.000000,	0.000000
94,	155.580002,	1178.369995,	0.000000,	0.000000,	0.000000,	1178.369995,	0.000000,	0.000000
95,	158.360001,	1196.609985,	0.000000,	0.000000,	0.000000,	1196.610016,	0.000000,	0.000000
96,	160.059998,	1218.520020,	0.000000,	0.000000,	0.000000,	1218.519989,	0.000000,	0.000000
97,	162.549988,	1235.489990,	0.000000,	0.000000,	0.000000,	1235.489990,	0.000000,	0.000000
98,	165.179993,	1252.869995,	0.000000,	0.000000,	0.000000,	1252.869995,	0.000000,	0.000000
99,	171.070007,	1269.189941,	0.000000,	0.000000,	0.000000,	1269.190002,	0.000000,	0.000000
100,	174.369995,	1289.429932,	0.000000,	0.000000,	0.000000,	1289.429993,	0.000000,	0.000000
101,	177.480011,	1207.229980,	84.279999,	18.760000,	0.000000,	1291.509949,	0.000000,	0.000000
102,	170.489990,	1134.520020,	127.270004,	68.470001,	0.000000,	1261.790009,	0.000000,	0.000000
103,	159.579987,	1073.810059,	138.660004,	143.279999,	0.000000,	1212.470032,	0.000000,	0.000000
104,	141.970001,	1011.710022,	134.739990,	227.199997,	0.000000,	1146.450043,	0.000000,	0.000000
105,	132.069992,	950.770020,	124.039993,	302.940002,	0.000000,	1074.809967,	0.000000,	0.000000
106,	122.010002,	889.770020,	114.549995,	369.220001,	0.000000,	1004.320007,	0.000000,	0.000000
107,	114.000000,	833.549988,	103.160004,	426.459991,	0.000000,	936.709991,	0.000000,	0.000000
108,	106.850006,	779.270020,	96.009995,	473.880005,	0.000000,	875.279999,	0.000000,	0.000000
109,	97.889999,	728.099976,	90.289993,	514.679993,	0.000000,	818.389984,	0.000000,	0.000000
110,	89.980003,	678.609985,	85.080002,	548.590027,	0.000000,	763.690002,	0.000000,	0.000000
111,	84.039993,	631.020020,	79.709999,	577.830017,	0.000000,	710.730011,	0.000000,	0.000000
112,	77.459999,	584.729980,	73.240005,	602.119995,	0.000000,	657.970001,	0.000000,	0.000000
113,	69.880005,	543.359985,	68.250000,	609.140015,	0.480000,	612.090012,	8.490000,	0.000000
114,	65.389999,	509.109985,	67.480003,	595.170044,	1.110000,	577.699966,	24.850000,	0.000000
115,	62.320000,	482.760010,	68.639999,	566.380005,	2.030000,	553.430023,	44.450001,	0.000000
116,	61.099998,	461.250000,	73.130005,	531.250000,	3.350000,	537.729996,	59.880001,	0.000000
