Time,	NewLatent,	NewInfectious,	NewInfectiousIdentified,	NewInfectiousUnderTreatmean,	NewInfectiousNotCured,	NewRecoveredLatent,	NewRelapse
287,	0.210000,	0.220000,	0.305000,	0.400000,	0.000000,	0.130000,	0.000000
288,	0.205000,	0.190000,	0.380000,	0.585000,	0.010000,	0.100000,	0.000000
289,	0.200000,	0.185000,	0.245000,	0.310000,	0.000000,	0.110000,	0.000000
290,	0.240000,	0.220000,	0.320000,	0.440000,	0.000000,	0.195000,	0.000000
291,	0.230000,	0.260000,	0.395000,	0.540000,	0.005000,	0.140000,	0.000000
292,	0.165000,	0.150000,	0.295000,	0.450000,	0.000000,	0.195000,	0.000000
293,	0.170000,	0.175000,	0.290000,	0.420000,	0.010000,	0.155000,	0.000000
294,	0.215000,	0.200000,	0.335000,	0.500000,	0.005000,	0.155000,	0.000000
295,	0.155000,	0.140000,	0.260000,	0.395000,	0.010000,	0.175000,	0.000000
296,	0.180000,	0.170000,	0.355000,	0.560000,	0.005000,	0.125000,	0.000000
297,	0.240000,	0.285000,	0.380000,	0.490000,	0.005000,	0.145000,	0.000000
298,	0.260000,	0.230000,	0.320000,	0.435000,	0.000000,	0.165000,	0.000000
299,	0.200000,	0.195000,	0.275000,	0.380000,	0.010000,	0.125000,	0.000000
300,	0.235000,	0.210000,	0.325000,	0.440000,	0.000000,	0.170000,	0.000000
