Time,	NewLatentMB,	NewInfectiousMB,	NewInfectiousIdentifiedMB,	NewInfectiousUnderTreatmeanMB,	NewInfectiousNotCuredMB,	NewRecoveredLatentMB,	NewRelapseMB
98,	102.355003,	94.610001,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
99,	105.574997,	97.860001,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
100,	108.610001,	100.379997,	0.000000,	0.000000,	0.000000,	0.000000,	0.000000
101,	102.885002,	98.150002,	93.195000,	81.580002,	0.000000,	0.000000,	0.000000
102,	88.389999,	91.745003,	87.035004,	86.330002,	0.000000,	0.000000,	0.000000
103,	75.860001,	83.834999,	79.440002,	78.580002,	0.000000,	0.000000,	0.000000
104,	65.235001,	75.830002,	72.120003,	71.735001,	0.000000,	0.000000,	0.000000
105,	56.919998,	66.419998,	63.020000,	63.084999,	0.000000,	0.000000,	0.000000
106,	50.820000,	57.805000,	54.974998,	54.599998,	0.000000,	0.000000,	0.000000
107,	43.264999,	50.759998,	48.134998,	48.240002,	0.000000,	0.000000,	0.000000
108,	38.849998,	44.224998,	41.950001,	41.775002,	0.000000,	0.000000,	0.000000
109,	33.264999,	38.055000,	36.209999,	36.365002,	0.000000,	0.000000,	0.000000
110,	29.375000,	32.205002,	30.580000,	30.559999,	0.000000,	0.000000,	0.000000
111,	26.125000,	28.565001,	26.980000,	26.650000,	0.000000,	0.000000,	0.000000
112,	22.620001,	25.200001,	23.959999,	23.965000,	0.000000,	0.000000,	0.000000
113,	20.240000,	21.924999,	38.625000,	34.685001,	2.410000,	45.540001,	0.000000
114,	19.570000,	20.860001,	58.240002,	56.000000,	2.500000,	47.775002,	0.000000
115,	19.125000,	19.705000,	59.259998,	58.084999,	2.170000,	44.345001,	0.000000
116,	17.594999,	18.365000,	56.465000,	56.119999,	1.915000,	40.674999,	0.000000
117,	16.170000,	17.195000,	51.935001,	51.820000,	1.735000,	35.654999,	0.000000
118,	14.210000,	14.970000,	45.325001,	45.020000,	1.410000,	30.965000,	0.000000
119,	13.960000,	14.220000,	41.020000,	40.924999,	1.390000,	27.094999,	0.000000
120,	12.790000,	13.195000,	36.080002,	35.735001,	1.030000,	23.504999,	0.000000
121,	11.235000,	11.615000,	32.310001,	32.130001,	1.075000,	19.754999,	0.000000
122,	10.225000,	10.860000,	28.014999,	27.625000,	0.835000,	17.235001,	0.000000
123,	9.100000,	9.505000,	24.030001,	23.915001,	0.680000,	15.065000,	0.000000
124,	8.500000,	8.720000,	22.295000,	22.160000,	0.675000,	13.570000,	0.000000
125,	7.355000,	7.770000,	20.680000,	20.014999,	0.910000,	18.870001,	0.000000
