Time,	LatentMB,	InfectiousMB,	InfectiousIdentifiedMB,	InfectiousUnderTreatmeanMB,	InfectiousNotCuredMB,	TotalInfectiousMB,	RecoveredLatentMB,	RelapseMB
169,	0.160000,	2.230000,	0.430000,	8.740000,	0.160000,	2.820000,	0.560000,	0.000000
170,	0.170000,	2.050000,	0.400000,	8.450000,	0.130000,	2.580000,	0.450000,	0.000000
171,	0.160000,	1.820000,	0.400000,	7.840000,	0.130000,	2.350000,	0.420000,	0.000000
172,	0.100000,	1.690000,	0.300000,	7.450000,	0.140000,	2.130000,	0.450000,	0.000000
173,	0.120000,	1.630000,	0.320000,	7.000000,	0.170000,	2.120000,	0.390000,	0.000000
174,	0.110000,	1.530000,	0.330000,	6.570000,	0.150000,	2.010000,	0.440000,	0.000000
175,	0.090000,	1.460000,	0.230000,	6.200000,	0.160000,	1.850000,	0.410000,	0.000000
176,	0.080000,	1.360000,	0.260000,	5.780000,	0.120000,	1.740000,	0.320000,	0.000000
177,	0.090000,	1.440000,	0.220000,	5.270000,	0.100000,	1.760000,	0.290000,	0.000000
178,	0.070000,	1.300000,	0.180000,	4.810000,	0.090000,	1.570000,	0.440000,	0.000000
179,	0.110000,	1.120000,	0.240000,	4.500000,	0.060000,	1.420000,	0.300000,	0.000000
180,	0.120000,	1.060000,	0.170000,	4.380000,	0.060000,	1.290000,	0.270000,	0.000000
181,	0.130000,	1.010000,	0.140000,	3.990000,	0.050000,	1.200000,	0.280000,	0.000000
182,	0.120000,	0.940000,	0.170000,	3.650000,	0.070000,	1.180000,	0.300000,	0.000000
183,	0.100000,	0.880000,	0.170000,	3.490000,	0.070000,	1.120000,	0.230000,	0.000000
184,	0.050000,	0.830000,	0.140000,	3.290000,	0.070000,	1.040000,	0.220000,	0.000000
185,	0.020000,	0.870000,	0.150000,	3.080000,	0.060000,	1.080000,	0.170000,	0.000000
186,	0.050000,	0.880000,	0.160000,	2.820000,	0.050000,	1.090000,	0.160000,	0.000000
187,	0.080000,	0.800000,	0.080000,	2.710000,	0.050000,	0.930000,	0.160000,	0.000000
188,	0.070000,	0.750000,	0.130000,	2.590000,	0.050000,	0.930000,	0.160000,	0.000000
189,	0.120000,	0.730000,	0.080000,	2.430000,	0.040000,	0.850000,	0.170000,	0.000000
190,	0.090000,	0.750000,	0.110000,	2.260000,	0.050000,	0.910000,	0.160000,	0.000000
191,	0.080000,	0.750000,	0.110000,	2.160000,	0.040000,	0.900000,	0.140000,	0.000000
192,	0.050000,	0.700000,	0.090000,	1.940000,	0.020000,	0.810000,	0.130000,	0.000000
193,	0.040000,	0.610000,	0.070000,	1.910000,	0.020000,	0.700000,	0.100000,	0.000000
194,	0.020000,	0.560000,	0.050000,	1.860000,	0.020000,	0.630000,	0.110000,	0.000000
195,	0.030000,	0.530000,	0.050000,	1.690000,	0.040000,	0.620000,	0.160000,	0.000000
196,	0.040000,	0.540000,	0.080000,	1.600000,	0.040000,	0.660000,	0.110000,	0.000000
197,	0.020000,	0.490000,	0.030000,	1.490000,	0.050000,	0.570000,	0.090000,	0.000000
198,	0.020000,	0.470000,	0.060000,	1.460000,	0.060000,	0.590000,	0.060000,	0.000000
199,	0.010000,	0.410000,	0.100000,	1.340000,	0.040000,	0.550000,	0.100000,	0.000000
200,	0.020000,	0.440000,	0.030000,	1.390000,	0.050000,	0.520000,	0.060000,	0.000000
