Time,	LatentPB,	InfectiousPB,	InfectiousIdentifiedPB,	InfectiousUnderTreatmeanPB,	InfectiousNotCuredPB,	TotalInfectiousPB,	RecoveredLatentPB,	RelapsePB
217,	0.120000,	1.750000,	0.080000,	4.040000,	0.060000,	1.890000,	0.610000,	0.000000
218,	0.130000,	1.755000,	0.085000,	3.855000,	0.060000,	1.900000,	0.550000,	0.000000
219,	0.085000,	1.735000,	0.120000,	3.760000,	0.045000,	1.900000,	0.555000,	0.000000
220,	0.160000,	1.740000,	0.065000,	3.715000,	0.025000,	1.830000,	0.575000,	0.000000
221,	0.160000,	1.730000,	0.100000,	3.685000,	0.035000,	1.865000,	0.520000,	0.000000
222,	0.130000,	1.725000,	0.140000,	3.565000,	0.035000,	1.900000,	0.510000,	0.000000
223,	0.110000,	1.760000,	0.060000,	3.540000,	0.030000,	1.850000,	0.520000,	0.000000
224,	0.115000,	1.750000,	0.055000,	3.450000,	0.030000,	1.835000,	0.520000,	0.000000
225,	0.145000,	1.750000,	0.085000,	3.290000,	0.025000,	1.860000,	0.520000,	0.000000
226,	0.150000,	1.715000,	0.085000,	3.255000,	0.025000,	1.825000,	0.530000,	0.000000
227,	0.165000,	1.705000,	0.060000,	3.205000,	0.020000,	1.785000,	0.465000,	0.000000
228,	0.150000,	1.705000,	0.075000,	3.210000,	0.015000,	1.795000,	0.450000,	0.000000
229,	0.145000,	1.705000,	0.065000,	3.125000,	0.025000,	1.795000,	0.440000,	0.000000
230,	0.135000,	1.670000,	0.095000,	3.070000,	0.040000,	1.805000,	0.425000,	0.000000
231,	0.130000,	1.685000,	0.045000,	3.060000,	0.050000,	1.780000,	0.430000,	0.000000
232,	0.105000,	1.660000,	0.095000,	2.955000,	0.045000,	1.800000,	0.415000,	0.000000
233,	0.110000,	1.665000,	0.090000,	2.950000,	0.050000,	1.805000,	0.350000,	0.000000
234,	0.135000,	1.690000,	0.090000,	3.035000,	0.045000,	1.825000,	0.295000,	0.000000
235,	0.115000,	1.710000,	0.060000,	3.015000,	0.040000,	1.810000,	0.315000,	0.000000
236,	0.135000,	1.665000,	0.050000,	3.015000,	0.040000,	1.755000,	0.320000,	0.000000
237,	0.135000,	1.640000,	0.025000,	2.990000,	0.040000,	1.705000,	0.325000,	0.000000
238,	0.110000,	1.625000,	0.055000,	2.935000,	0.040000,	1.720000,	0.355000,	0.000000
239,	0.095000,	1.625000,	0.030000,	2.920000,	0.040000,	1.695000,	0.370000,	0.000000
240,	0.065000,	1.625000,	0.050000,	2.795000,	0.030000,	1.705000,	0.375000,	0.000000
241,	0.075000,	1.605000,	0.055000,	2.780000,	0.025000,	1.685000,	0.350000,	0.000000
242,	0.105000,	1.630000,	0.045000,	2.820000,	0.025000,	1.700000,	0.300000,	0.000000
243,	0.090000,	1.555000,	0.075000,	2.690000,	0.025000,	1.655000,	0.335000,	0.000000
244,	0.110000,	1.550000,	0.105000,	2.615000,	0.025000,	1.680000,	0.325000,	0.000000
245,	0.105000,	1.540000,	0.035000,	2.600000,	0.035000,	1.610000,	0.395000,	0.000000
246,	0.110000,	1.525000,	0.045000,	2.515000,	0.025000,	1.595000,	0.370000,	0.000000
247,	0.105000,	1.520000,	0.070000,	2.440000,	0.020000,	1.610000,	0.400000,	0.000000
248,	0.085000,	1.555000,	0.085000,	2.445000,	0.020000,	1.660000,	0.415000,	0.000000
249,	0.125000,	1.555000,	0.080000,	2.410000,	0.025000,	1.660000,	0.335000,	0.000000
250,	0.110000,	1.560000,	0.070000,	2.405000,	0.020000,	1.650000,	0.370000,	0.000000
251,	0.095000,	1.555000,	0.030000,	2.370000,	0.020000,	1.605000,	0.405000,	0.000000
252,	0.105000,	1.545000,	0.070000,	2.430000,	0.020000,	1.635000,	0.315000,	0.000000
253,	0.065000,	1.540000,	0.045000,	2.460000,	0.020000,	1.605000,	0.315000,	0.000000
254,	0.085000,	1.540000,	0.065000,	2.480000,	0.015000,	1.620000,	0.280000,	0.000000
255,	0.095000,	1.475000,	0.055000,	2.480000,	0.025000,	1.555000,	0.265000,	0.000000
256,	0.085000,	1.460000,	0.070000,	2.435000,	0.020000,	1.550000,	0.280000,	0.000000
257,	0.090000,	1.490000,	0.055000,	2.370000,	0.020000,	1.565000,	0.320000,	0.000000
258,	0.100000,	1.470000,	0.045000,	2.330000,	0.025000,	1.540000,	0.285000,	0.000000
259,	0.170000,	1.455000,	0.040000,	2.310000,	0.025000,	1.520000,	0.335000,	0.000000
260,	0.130000,	1.490000,	0.025000,	2.315000,	0.020000,	1.535000,	0.360000,	0.000000
261,	0.155000,	1.500000,	0.030000,	2.370000,	0.020000,	1.550000,	0.290000,	0.000000
262,	0.155000,	1.510000,	0.060000,	2.360000,	0.020000,	1.590000,	0.310000,	0.000000
263,	0.115000,	1.525000,	0.050000,	2.395000,	0.015000,	1.590000,	0.335000,	0.000000
264,	0.095000,	1.515000,	0.060000,	2.395000,	0.015000,	1.590000,	0.335000,	0.000000
265,	0.095000,	1.540000,	0.070000,	2.440000,	0.010000,	1.620000,	0.285000,	0.000000
266,	0.095000,	1.550000,	0.070000,	2.405000,	0.010000,	1.630000,	0.290000,	0.000000
267,	0.115000,	1.495000,	0.045000,	2.350000,	0.025000,	1.565000,	0.295000,	0.000000
268,	0.100000,	1.495000,	0.050000,	2.350000,	0.025000,	1.570000,	0.250000,	0.000000
269,	0.110000,	1.485000,	0.070000,	2.330000,	0.025000,	1.580000,	0.255000,	0.000000
270,	0.145000,	1.520000,	0.055000,	2.365000,	0.030000,	1.605000,	0.270000,	0.000000
271,	0.115000,	1.505000,	0.050000,	2.330000,	0.025000,	1.580000,	0.310000,	0.000000
