Time,	Latent,	Infectious,	InfectiousIdentified,	InfectiousUnderTreatmean,	InfectiousNotCured,	TotalInfectious,	RecoveredLatent,	Relapse
133,	42.570000,	323.584991,	0.155000,	503.764984,	6.730000,	330.470001,	49.924999,	0.000000
134,	41.910000,	317.315002,	0.125000,	494.329987,	6.670000,	324.110001,	48.474998,	0.000000
135,	40.705002,	310.500000,	0.110000,	486.250000,	6.695000,	317.305000,	46.185001,	0.000000
136,	40.340000,	304.114990,	0.125000,	478.875000,	6.620000,	310.860016,	43.514999,	0.000000
137,	39.654999,	296.974976,	0.125000,	472.205017,	6.395000,	303.495003,	42.559998,	0.000000
138,	39.489998,	291.475006,	0.085000,	464.224976,	6.180000,	297.740005,	41.005001,	0.000000
139,	37.869999,	285.835022,	0.130000,	455.195007,	5.960000,	291.925011,	41.020000,	0.000000
140,	37.489998,	280.875000,	0.135000,	447.454987,	5.910000,	286.919998,	40.169998,	0.000000
141,	37.549999,	275.480011,	0.095000,	439.989990,	6.020000,	281.595001,	39.584999,	0.000000
142,	36.320000,	270.975006,	0.120000,	433.950012,	5.755000,	276.850014,	38.169998,	0.000000
143,	35.924999,	265.410004,	0.110000,	426.799988,	5.635000,	271.154984,	36.919998,	0.000000
144,	35.654999,	260.885010,	0.125000,	420.265015,	5.500000,	266.510002,	35.840000,	0.000000
145,	34.724998,	256.035004,	0.095000,	413.414978,	5.500000,	261.630013,	35.389999,	0.000000
146,	34.849998,	252.869995,	0.115000,	405.729980,	5.260000,	258.245003,	34.540001,	0.000000
147,	34.435001,	248.244995,	0.100000,	399.010010,	5.230000,	253.574997,	33.755001,	0.000000
148,	33.809998,	244.524994,	0.125000,	392.784973,	5.105000,	249.755005,	32.410000,	0.000000
149,	33.125000,	240.795013,	0.060000,	386.989990,	5.005000,	245.860001,	31.470001,	0.000000
150,	32.845001,	237.104996,	0.110000,	381.029999,	4.970000,	242.184990,	31.100000,	0.000000
151,	32.410000,	233.239990,	0.095000,	375.149994,	4.930000,	238.264992,	30.079998,	0.000000
152,	32.000000,	229.434998,	0.110000,	368.750000,	5.065000,	234.610016,	28.980000,	0.000000
153,	31.824999,	227.130005,	0.115000,	363.619995,	4.985000,	232.230000,	28.490000,	0.000000
154,	31.865002,	224.209991,	0.105000,	358.859985,	4.930000,	229.244995,	27.504999,	0.000000
155,	31.309999,	220.829987,	0.080000,	353.885010,	4.785000,	225.694988,	26.980000,	0.000000
156,	30.980001,	218.315002,	0.085000,	349.265015,	4.670000,	223.070000,	26.564999,	0.000000
157,	30.889999,	215.539993,	0.090000,	344.895020,	4.465000,	220.094997,	25.820000,	0.000000
158,	30.760000,	212.454987,	0.105000,	341.549988,	4.445000,	217.005009,	24.485001,	0.000000
159,	30.209999,	208.765015,	0.075000,	337.954987,	4.590000,	213.430016,	23.975000,	0.000000
160,	29.820002,	205.165009,	0.085000,	333.869995,	4.600000,	209.850010,	23.494999,	0.000000
161,	29.730000,	203.035004,	0.095000,	330.050018,	4.585000,	207.714993,	22.709999,	0.000000
162,	29.650000,	201.029999,	0.090000,	325.455017,	4.435000,	205.555000,	23.084999,	0.000000
163,	29.235001,	199.255005,	0.090000,	322.195007,	4.340000,	203.684998,	22.075001,	0.000000
