Time,	LatentMB,	InfectiousMB,	InfectiousIdentifiedMB,	InfectiousUnderTreatmeanMB,	InfectiousNotCuredMB,	TotalInfectiousMB,	RecoveredLatentMB,	RelapseMB
272,	19.910000,	126.029999,	0.060000,	202.410004,	2.695000,	128.785004,	8.160000,	0.000000
273,	20.110001,	125.919998,	0.065000,	202.074997,	2.745000,	128.729996,	8.155000,	0.000000
274,	20.420000,	125.154999,	0.055000,	202.044998,	2.735000,	127.945000,	7.955000,	0.000000
275,	21.000000,	125.114998,	0.050000,	201.580002,	2.825000,	127.989998,	8.440000,	0.000000
276,	20.740000,	125.980003,	0.080000,	201.645004,	2.815000,	128.875000,	8.145000,	0.000000
277,	20.250000,	126.029999,	0.060000,	201.774994,	2.745000,	128.834991,	8.255000,	0.000000
278,	20.389999,	125.089996,	0.035000,	202.074997,	2.735000,	127.860001,	8.215000,	0.000000
279,	20.145000,	124.620003,	0.055000,	202.175003,	2.670000,	127.345001,	8.320000,	0.000000
280,	20.075001,	124.764999,	0.050000,	202.005005,	2.630000,	127.445000,	8.085000,	0.000000
281,	20.035000,	124.440002,	0.065000,	202.115005,	2.615000,	127.120003,	8.205000,	0.000000
282,	20.200001,	124.639999,	0.100000,	201.684998,	2.680000,	127.419998,	8.425000,	0.000000
283,	20.160000,	124.904999,	0.070000,	202.000000,	2.730000,	127.705002,	8.190000,	0.000000
284,	20.139999,	124.470001,	0.075000,	202.570007,	2.820000,	127.364998,	8.165000,	0.000000
285,	19.950001,	124.150002,	0.050000,	202.240005,	2.765000,	126.965004,	8.325000,	0.000000
286,	19.610001,	124.434998,	0.065000,	202.690002,	2.855000,	127.355003,	8.250000,	0.000000
287,	19.740000,	124.014999,	0.050000,	202.615005,	2.890000,	126.955002,	7.840000,	0.000000
288,	19.549999,	124.175003,	0.050000,	202.000000,	2.955000,	127.180008,	8.225000,	0.000000
289,	19.344999,	124.105003,	0.045000,	201.365005,	2.820000,	126.970001,	8.405000,	0.000000
290,	19.415001,	124.080002,	0.065000,	201.869995,	2.875000,	127.020004,	8.110000,	0.000000
291,	19.799999,	124.135002,	0.090000,	201.565002,	2.880000,	127.104996,	8.220000,	0.000000
292,	19.520000,	123.345001,	0.060000,	201.865005,	2.955000,	126.360001,	8.145000,	0.000000
293,	19.155001,	122.940002,	0.040000,	201.164993,	3.015000,	125.995003,	8.240000,	0.000000
294,	19.469999,	122.474998,	0.040000,	201.309998,	2.890000,	125.404999,	8.160000,	0.000000
295,	19.395000,	122.730003,	0.065000,	200.699997,	2.885000,	125.680008,	8.410000,	0.000000
296,	19.525000,	122.525002,	0.060000,	200.285004,	2.880000,	125.464996,	8.300000,	0.000000
297,	19.219999,	121.684998,	0.035000,	200.235001,	2.910000,	124.630005,	8.640000,	0.000000
298,	19.264999,	122.324997,	0.065000,	199.610001,	3.030000,	125.419998,	8.550000,	0.000000
299,	19.934999,	122.739998,	0.055000,	199.110001,	2.980000,	125.775002,	8.320000,	0.000000
300,	20.305000,	122.139999,	0.065000,	199.759995,	2.895000,	125.099998,	8.085000,	0.000000
