Time,	Latent,	Infectious,	InfectiousIdentified,	InfectiousUnderTreatmean,	InfectiousNotCured,	TotalInfectious,	RecoveredLatent,	Relapse
131,	36.264999,	179.709991,	96.285004,	664.924988,	8.610001,	284.605011,	63.840000,	0.000000
132,	37.014999,	176.029999,	96.510002,	647.309998,	8.790000,	281.330002,	64.729996,	0.000000
133,	37.299999,	173.904999,	96.849998,	629.915039,	9.065001,	279.820007,	65.384995,	0.000000
134,	36.724998,	170.184998,	97.084999,	616.075012,	9.205000,	276.474983,	64.680000,	0.000000
135,	36.099998,	168.359985,	97.025002,	604.304993,	8.990000,	274.374985,	63.404999,	0.000000
136,	35.755001,	164.919998,	96.464996,	593.260010,	8.845000,	270.230003,	61.260002,	0.000000
137,	35.514999,	161.714996,	94.029999,	586.090027,	8.525000,	264.270012,	58.169998,	0.000000
138,	34.730000,	158.035004,	91.400002,	578.505005,	8.380000,	257.814987,	56.345001,	0.000000
139,	34.834999,	155.160004,	88.695000,	572.209961,	8.070000,	251.924980,	53.245003,	0.000000
140,	33.855000,	152.720001,	86.394997,	567.359985,	7.750000,	246.864990,	50.239998,	0.000000
141,	33.650002,	149.565002,	85.014999,	560.645020,	7.655000,	242.235008,	47.670002,	0.000000
142,	32.415001,	146.365005,	82.915001,	553.760010,	7.525000,	236.804993,	45.939999,	0.000000
143,	31.895000,	143.854996,	82.165001,	545.709961,	7.280000,	233.300011,	44.805000,	0.000000
144,	31.595001,	140.925003,	80.190002,	537.809998,	7.145000,	228.260010,	44.095001,	0.000000
145,	30.810001,	138.294998,	79.614998,	529.664978,	6.940000,	224.850006,	43.205002,	0.000000
146,	31.005001,	136.404999,	78.290001,	521.494995,	6.685000,	221.379990,	43.009998,	0.000000
147,	30.785000,	134.130005,	77.959999,	512.359985,	6.550000,	218.640015,	42.639999,	0.000000
148,	30.410000,	132.139999,	78.309998,	503.554993,	6.770000,	217.220005,	42.334999,	0.000000
149,	30.610001,	130.975006,	78.264999,	495.575012,	7.030000,	216.270004,	41.700001,	0.000000
150,	30.665001,	129.740005,	77.625000,	489.075012,	6.915000,	214.279999,	40.830002,	0.000000
151,	30.695000,	129.285004,	76.540001,	482.190002,	6.675000,	212.500011,	39.404999,	0.000000
152,	29.719999,	128.335007,	75.434998,	476.790009,	6.495000,	210.265003,	38.029999,	0.000000
153,	29.494999,	126.415009,	75.510002,	471.684998,	6.230000,	208.155010,	36.695000,	0.000000
154,	29.150000,	124.264999,	74.860001,	466.875000,	6.130000,	205.255001,	35.895000,	0.000000
155,	28.685001,	122.264999,	73.714996,	462.890015,	6.050000,	202.030003,	34.709999,	0.000000
156,	29.195002,	121.215004,	72.264999,	457.824982,	6.060000,	199.540009,	34.145000,	0.000000
157,	29.110001,	119.834999,	71.934998,	452.535004,	5.925000,	197.695007,	33.070000,	0.000000
158,	27.975000,	118.114998,	71.324997,	448.580017,	5.955000,	195.394993,	32.220001,	0.000000
159,	27.895000,	116.845001,	69.849998,	445.260010,	5.860000,	192.554993,	31.685001,	0.000000
160,	27.935001,	114.869995,	68.754997,	441.539978,	5.850000,	189.475002,	30.750000,	0.000000
161,	27.644999,	114.035004,	68.805000,	436.540009,	5.765000,	188.605011,	30.375000,	0.000000
162,	27.335001,	112.389999,	68.555000,	432.385010,	5.675000,	186.619991,	30.404999,	0.000000
163,	27.555000,	110.790001,	68.959999,	427.545013,	5.695000,	185.445000,	29.805000,	0.000000
164,	27.305000,	109.720001,	68.180000,	423.110016,	5.480000,	183.379997,	28.980000,	0.000000
165,	27.150000,	108.805000,	67.360001,	419.295013,	5.570000,	181.735001,	28.494999,	0.000000
166,	26.789999,	107.480003,	67.139999,	415.670013,	5.505000,	180.124996,	28.165001,	0.000000
167,	26.820000,	106.610001,	65.470001,	411.804993,	5.540000,	177.619995,	27.639999,	0.000000
168,	26.289999,	106.035004,	64.690002,	408.365021,	5.365000,	176.089996,	27.190001,	0.000000
169,	25.580000,	105.350006,	65.299995,	405.505005,	5.350000,	176.000004,	25.814999,	0.000000
170,	25.514999,	105.200005,	64.669998,	402.750000,	5.410000,	175.280001,	25.445000,	0.000000
171,	25.810001,	103.964996,	64.065002,	399.145020,	5.260000,	173.290007,	25.595001,	0.000000
172,	25.565001,	103.380005,	63.380001,	397.150024,	5.280000,	172.039997,	24.545000,	0.000000
173,	26.035000,	103.070000,	62.285000,	394.309998,	5.155000,	170.510012,	23.965000,	0.000000
174,	25.755001,	101.649994,	62.055000,	390.400024,	5.005000,	168.709997,	23.620001,	0.000000
175,	25.740002,	101.715004,	62.139999,	387.084991,	4.955000,	168.810005,	23.485001,	0.000000
176,	25.500000,	101.150002,	61.870003,	383.684998,	4.870000,	167.890003,	23.385000,	0.000000
